file1,file2,score,user_relation,score_with_nonoise,score_denoise
1.wav,190.wav,tensor([0.0959]),different,tensor([0.1213]),tensor([0.2992])
1.wav,191.wav,tensor([0.0119]),different,tensor([0.0560]),tensor([0.2017])
1.wav,192.wav,tensor([-0.0155]),different,tensor([0.0372]),tensor([0.1666])
1.wav,193.wav,tensor([0.1059]),different,tensor([0.0676]),tensor([0.0973])
1.wav,194.wav,tensor([0.1189]),different,tensor([0.0645]),tensor([0.2470])
1.wav,195.wav,tensor([0.1106]),different,tensor([0.1090]),tensor([0.2071])
1.wav,196.wav,tensor([0.0360]),different,tensor([0.0079]),tensor([0.1244])
1.wav,197.wav,tensor([0.0994]),different,tensor([0.0554]),tensor([0.1093])
1.wav,198.wav,tensor([0.1122]),different,tensor([0.0608]),tensor([0.1550])
1.wav,199.wav,tensor([0.1018]),different,tensor([0.0392]),tensor([0.1795])
1.wav,200.wav,tensor([0.0897]),different,tensor([0.0430]),tensor([0.1680])
2.wav,3.wav,tensor([0.7080]),same,tensor([0.8161]),tensor([0.8266])
2.wav,4.wav,tensor([0.6874]),same,tensor([0.6202]),tensor([0.6386])
2.wav,5.wav,tensor([0.6868]),same,tensor([0.6396]),tensor([0.7486])
2.wav,6.wav,tensor([0.4714]),different,tensor([0.3963]),tensor([0.4748])
2.wav,7.wav,tensor([0.5096]),different,tensor([0.5519]),tensor([0.5765])
2.wav,8.wav,tensor([0.5000]),different,tensor([0.5032]),tensor([0.5543])
2.wav,9.wav,tensor([0.5574]),different,tensor([0.5715]),tensor([0.6376])
2.wav,10.wav,tensor([0.6092]),different,tensor([0.5750]),tensor([0.6277])
2.wav,11.wav,tensor([0.3896]),different,tensor([0.3755]),tensor([0.5056])
2.wav,12.wav,tensor([0.3351]),different,tensor([0.3074]),tensor([0.4621])
2.wav,13.wav,tensor([0.3807]),different,tensor([0.3867]),tensor([0.5497])
2.wav,14.wav,tensor([0.3158]),different,tensor([0.2496]),tensor([0.4112])
2.wav,15.wav,tensor([0.2267]),different,tensor([0.2738]),tensor([0.4870])
2.wav,16.wav,tensor([0.1117]),different,tensor([0.1845]),tensor([0.1646])
2.wav,17.wav,tensor([0.2337]),different,tensor([0.1352]),tensor([0.2778])
2.wav,18.wav,tensor([0.1307]),different,tensor([0.1999]),tensor([0.2359])
2.wav,19.wav,tensor([0.1235]),different,tensor([0.1616]),tensor([0.2107])
2.wav,20.wav,tensor([0.1547]),different,tensor([0.0312]),tensor([0.1688])
2.wav,21.wav,tensor([0.2949]),different,tensor([0.2601]),tensor([0.3482])
2.wav,22.wav,tensor([0.2474]),different,tensor([0.2258]),tensor([0.2966])
2.wav,23.wav,tensor([0.2160]),different,tensor([0.1789]),tensor([0.3296])
2.wav,24.wav,tensor([0.2909]),different,tensor([0.3035]),tensor([0.3307])
2.wav,25.wav,tensor([0.1786]),different,tensor([0.2427]),tensor([0.2310])
2.wav,26.wav,tensor([0.2784]),different,tensor([0.1362]),tensor([0.2611])
2.wav,27.wav,tensor([0.2364]),different,tensor([0.0632]),tensor([0.2001])
2.wav,28.wav,tensor([0.2693]),different,tensor([0.1193]),tensor([0.2346])
2.wav,29.wav,tensor([0.3150]),different,tensor([0.1518]),tensor([0.2936])
2.wav,30.wav,tensor([0.2263]),different,tensor([0.2816]),tensor([0.3467])
2.wav,31.wav,tensor([0.2878]),different,tensor([0.4036]),tensor([0.3665])
2.wav,32.wav,tensor([0.4321]),different,tensor([0.4602]),tensor([0.5313])
2.wav,33.wav,tensor([0.2906]),different,tensor([0.2413]),tensor([0.3843])
2.wav,34.wav,tensor([0.3738]),different,tensor([0.3545]),tensor([0.3736])
2.wav,35.wav,tensor([0.4316]),different,tensor([0.3622]),tensor([0.4740])
2.wav,36.wav,tensor([0.1812]),different,tensor([0.1264]),tensor([0.2665])
2.wav,37.wav,tensor([0.1965]),different,tensor([0.1261]),tensor([0.3216])
2.wav,38.wav,tensor([0.1340]),different,tensor([0.0694]),tensor([0.1811])
2.wav,39.wav,tensor([0.1631]),different,tensor([0.1544]),tensor([0.2616])
2.wav,40.wav,tensor([0.1543]),different,tensor([0.0432]),tensor([0.2583])
2.wav,41.wav,tensor([0.1537]),different,tensor([0.1867]),tensor([0.2779])
2.wav,42.wav,tensor([0.1308]),different,tensor([0.3058]),tensor([0.2850])
2.wav,43.wav,tensor([0.0920]),different,tensor([0.3025]),tensor([0.2644])
2.wav,44.wav,tensor([0.1155]),different,tensor([0.1785]),tensor([0.2203])
2.wav,45.wav,tensor([0.1517]),different,tensor([0.2584]),tensor([0.2857])
2.wav,46.wav,tensor([0.0649]),different,tensor([0.1324]),tensor([0.1546])
2.wav,47.wav,tensor([-0.0098]),different,tensor([0.0890]),tensor([0.1874])
2.wav,48.wav,tensor([0.0810]),different,tensor([0.0883]),tensor([0.2327])
2.wav,49.wav,tensor([0.0914]),different,tensor([0.1920]),tensor([0.2282])
2.wav,50.wav,tensor([0.0646]),different,tensor([0.2001]),tensor([0.2290])
2.wav,51.wav,tensor([0.1957]),different,tensor([0.2566]),tensor([0.2728])
2.wav,52.wav,tensor([0.1885]),different,tensor([0.2431]),tensor([0.2305])
2.wav,53.wav,tensor([0.1997]),different,tensor([0.2037]),tensor([0.2736])
2.wav,54.wav,tensor([0.2036]),different,tensor([0.2395]),tensor([0.2634])
2.wav,55.wav,tensor([0.1051]),different,tensor([0.1826]),tensor([0.2103])
2.wav,56.wav,tensor([0.1700]),different,tensor([0.1017]),tensor([0.2468])
2.wav,57.wav,tensor([0.1266]),different,tensor([0.0906]),tensor([0.2514])
2.wav,58.wav,tensor([0.0695]),different,tensor([0.0462]),tensor([0.2845])
2.wav,59.wav,tensor([0.1492]),different,tensor([0.1089]),tensor([0.2521])
2.wav,60.wav,tensor([0.0779]),different,tensor([0.1236]),tensor([0.1919])
2.wav,61.wav,tensor([0.1342]),different,tensor([0.2529]),tensor([0.2274])
2.wav,62.wav,tensor([0.1154]),different,tensor([0.1561]),tensor([0.1588])
2.wav,63.wav,tensor([0.1514]),different,tensor([0.1229]),tensor([0.1836])
2.wav,64.wav,tensor([0.2074]),different,tensor([0.1682]),tensor([0.2279])
2.wav,65.wav,tensor([0.1667]),different,tensor([0.1516]),tensor([0.1793])
2.wav,66.wav,tensor([0.5133]),different,tensor([0.4092]),tensor([0.5206])
2.wav,67.wav,tensor([0.4058]),different,tensor([0.5027]),tensor([0.5568])
2.wav,68.wav,tensor([0.4228]),different,tensor([0.5520]),tensor([0.4303])
2.wav,69.wav,tensor([0.4836]),different,tensor([0.4900]),tensor([0.6007])
2.wav,70.wav,tensor([0.4561]),different,tensor([0.4631]),tensor([0.4266])
2.wav,71.wav,tensor([0.3801]),different,tensor([0.4031]),tensor([0.2827])
2.wav,72.wav,tensor([0.4992]),different,tensor([0.4928]),tensor([0.5172])
2.wav,73.wav,tensor([0.4776]),different,tensor([0.4297]),tensor([0.5354])
2.wav,74.wav,tensor([0.3242]),different,tensor([0.4668]),tensor([0.3349])
2.wav,75.wav,tensor([0.4141]),different,tensor([0.4893]),tensor([0.4287])
2.wav,76.wav,tensor([0.3517]),different,tensor([0.3370]),tensor([0.3742])
2.wav,77.wav,tensor([0.3816]),different,tensor([0.3792]),tensor([0.3849])
2.wav,78.wav,tensor([0.3046]),different,tensor([0.3784]),tensor([0.2109])
2.wav,79.wav,tensor([0.3950]),different,tensor([0.3245]),tensor([0.3877])
2.wav,80.wav,tensor([0.3836]),different,tensor([0.4723]),tensor([0.3604])
2.wav,81.wav,tensor([0.5718]),different,tensor([0.5403]),tensor([0.4760])
2.wav,82.wav,tensor([0.4498]),different,tensor([0.4106]),tensor([0.5013])
2.wav,83.wav,tensor([0.4774]),different,tensor([0.4539]),tensor([0.4977])
2.wav,84.wav,tensor([0.4610]),different,tensor([0.4626]),tensor([0.4938])
2.wav,85.wav,tensor([0.4720]),different,tensor([0.4114]),tensor([0.4774])
2.wav,86.wav,tensor([0.2023]),different,tensor([0.1536]),tensor([0.1916])
2.wav,87.wav,tensor([0.2595]),different,tensor([0.2459]),tensor([0.2804])
2.wav,88.wav,tensor([0.2153]),different,tensor([0.1730]),tensor([0.1848])
2.wav,89.wav,tensor([0.1342]),different,tensor([0.0498]),tensor([0.1870])
2.wav,90.wav,tensor([0.2241]),different,tensor([0.1821]),tensor([0.2317])
2.wav,91.wav,tensor([0.1110]),different,tensor([0.1116]),tensor([0.1907])
2.wav,92.wav,tensor([0.1707]),different,tensor([0.1329]),tensor([0.2370])
2.wav,93.wav,tensor([0.2315]),different,tensor([0.2166]),tensor([0.1531])
2.wav,94.wav,tensor([0.1803]),different,tensor([0.1569]),tensor([0.2359])
2.wav,95.wav,tensor([0.1053]),different,tensor([0.0881]),tensor([0.1522])
2.wav,96.wav,tensor([0.4012]),different,tensor([0.3259]),tensor([0.3591])
2.wav,97.wav,tensor([0.2642]),different,tensor([0.2877]),tensor([0.3766])
2.wav,98.wav,tensor([0.1715]),different,tensor([0.2226]),tensor([0.2405])
2.wav,99.wav,tensor([0.2091]),different,tensor([0.2288]),tensor([0.2843])
2.wav,100.wav,tensor([0.2975]),different,tensor([0.1533]),tensor([0.3250])
2.wav,101.wav,tensor([0.1300]),different,tensor([0.0765]),tensor([0.2224])
2.wav,102.wav,tensor([0.0715]),different,tensor([0.0539]),tensor([0.1992])
2.wav,103.wav,tensor([0.0755]),different,tensor([0.0900]),tensor([0.1612])
2.wav,104.wav,tensor([0.1114]),different,tensor([0.0478]),tensor([0.1865])
2.wav,105.wav,tensor([0.0815]),different,tensor([0.0502]),tensor([0.1903])
2.wav,106.wav,tensor([0.1684]),different,tensor([0.0918]),tensor([0.1411])
2.wav,107.wav,tensor([0.1141]),different,tensor([0.1051]),tensor([0.1902])
2.wav,108.wav,tensor([0.0805]),different,tensor([0.0258]),tensor([0.0732])
2.wav,109.wav,tensor([0.1297]),different,tensor([0.0441]),tensor([0.0828])
2.wav,110.wav,tensor([0.1323]),different,tensor([0.0366]),tensor([0.1716])
2.wav,111.wav,tensor([0.2144]),different,tensor([0.2757]),tensor([0.2511])
2.wav,112.wav,tensor([0.2250]),different,tensor([0.2618]),tensor([0.2267])
2.wav,113.wav,tensor([0.2406]),different,tensor([0.3720]),tensor([0.2879])
2.wav,114.wav,tensor([0.2696]),different,tensor([0.2891]),tensor([0.1823])
2.wav,115.wav,tensor([0.2609]),different,tensor([0.2365]),tensor([0.2013])
2.wav,116.wav,tensor([0.1870]),different,tensor([0.1006]),tensor([0.2817])
2.wav,117.wav,tensor([0.1339]),different,tensor([0.1175]),tensor([0.2134])
2.wav,118.wav,tensor([0.1381]),different,tensor([0.1816]),tensor([0.2593])
2.wav,119.wav,tensor([0.0948]),different,tensor([0.1839]),tensor([0.1936])
2.wav,120.wav,tensor([0.2057]),different,tensor([0.1467]),tensor([0.3000])
2.wav,121.wav,tensor([0.2940]),different,tensor([0.3464]),tensor([0.3430])
2.wav,122.wav,tensor([0.3353]),different,tensor([0.3254]),tensor([0.3468])
2.wav,123.wav,tensor([0.0668]),different,tensor([0.1489]),tensor([-0.0026])
2.wav,124.wav,tensor([0.4162]),different,tensor([0.4914]),tensor([0.4335])
2.wav,125.wav,tensor([0.4195]),different,tensor([0.4284]),tensor([0.4646])
2.wav,126.wav,tensor([0.1708]),different,tensor([0.1508]),tensor([0.2920])
2.wav,127.wav,tensor([0.2462]),different,tensor([0.1412]),tensor([0.3004])
2.wav,128.wav,tensor([0.1950]),different,tensor([0.0436]),tensor([0.2835])
2.wav,129.wav,tensor([0.2178]),different,tensor([0.1173]),tensor([0.2839])
2.wav,130.wav,tensor([0.1743]),different,tensor([0.0999]),tensor([0.2301])
2.wav,131.wav,tensor([0.1605]),different,tensor([0.1455]),tensor([0.2596])
2.wav,132.wav,tensor([0.2162]),different,tensor([0.1241]),tensor([0.2579])
2.wav,133.wav,tensor([0.2558]),different,tensor([0.0524]),tensor([0.3288])
